Sequenz;Stimulus;Word;d_e_sw;e_d_sw;Language;Task;Test;eng;ger;pse
P;Zwieglet;;;;;3;2;Guitar;Rhythmus;Musner
P;Humwahl;;;;;3;2;Trombone;Klavier;Melgen
P;Schalgenz;;;;;3;2;Trumpet;Geige;Erlwob
D;Rabe;;;;;3;2;Ballad;Barock;Scheurol
E;Saucepan;;;;;3;2;Octave;Harfe;Reboh
D;Pfirsich;;;;;3;2;Cornet;Hymne;Hudme
P;Pigmal;;;;;3;2;Bagpipe;Schlagzeug;Pfanstik
E;Airport;;;;;3;2;Fiddle;Trommel;Truad
P;Anrobe;;;;;3;2;Quartet;Laute;Tachret
E;Hedgehog;;;;;3;2;Upbeat;Orgel;Scherfech
P;Neyrel;;;;;3;2;Doctor;Tierarzt;Lerwan
E;Backbone;;;;;3;2;Dentist;Lehrer;Mannel
P;Piecot;;;;;3;2;Surgeon;Bauer;Schautich
E;Sunshine;;;;;3;2;Artist;Soldat;Bluzeug
E;Flooding;;;;;3;2;Actor;Kellner;Weuka
D;Rettich;;;;;3;2;Plumber;Fischer;Selwild
P;Hedgesur;;;;;3;2;Singer;Maler;Senlau
P;Tachret;;;;;3;2;Driver;Maurer;Pfirber
P;Traudat;;;;;3;2;Tailor;Anwalt;Wolfser
E;Teaspoon;;;;;3;2;Cleaner;Richter;Stattkla
E;Skiing;;;;;3;2;Climbing;Tauchen;Auber
P;Erkes;;;;;3;2;Juggling;Fechten;Nerla
P;Settas;;;;;3;2;Hiking;Fussball;Schrauseg
E;Lorry;;;;;3;2;Rowing;Reiten;Settas
P;Pfante;;;;;3;2;Bowling;Joggen;Wildhar
P;Plantmus;;;;;3;2;Fishing;Turnen;Somga
E;Toaster;;;;;3;2;Hunting;Tanzen;Seirot
P;Coatmet;;;;;3;2;Skating;Segeln;Schalgenz
D;Amsel;;;;;3;2;Skiing;Schwimmen;Tarmaul
D;Klavier;;;;;3;2;Wrestling;Boxen;Maukasch
D;Kerze;;;;;3;2;Copper;Eisen;Kuckdau
E;Thunder;;;;;3;2;Cotton;Wolfram;Waldat
P;Soonber;;;;;3;2;Silver;Wolle;Walpfrei
D;Pflaume;;;;;3;2;Fibre;Platin;Glafa
E;Jigsaw;;;;;3;2;Linen;Titan;Storschmitt
E;Climbing;;;;;3;2;Timber;Seide;Erkes
D;Boxen;;;;;3;2;Bamboo;Papier;Traudat
D;Joggen;;;;;3;2;Rubber;Kaschmir;Schlanaus
D;Tanzen;;;;;3;2;Cardboard;Plastik;Nepa
D;Tierarzt;;;;;3;2;Carbon;Leder;Feitrom
E;Radish;;;;;3;2;Earthquake;Regen;Lehmo
E;Pumpkin;;;;;3;2;Eclipse;Wolke;Sichtglib
P;Schniewich;;;;;3;2;Lightning;Gletscher;Daukan
E;Guitar;;;;;3;2;Thunder;Hagel;Lamke
P;Garbad;;;;;3;2;Rainbow;Taifun;Buntel
D;Maurer;;;;;3;2;Flooding;Nebel;Baune
D;Kanu;;;;;3;2;Autumn;Schauer;Kanbe
P;Waistair;;;;;3;2;Sunshine;Sommer;Tichsol
P;Beetbal;;;;;3;2;Twilight;Schneesturm;Scherad
E;Freezer;;;;;3;2;Sunrise;Orkan;Scheuwe
E;Octave;;;;;3;2;;;
E;Cleaner;;;;;3;2;;;
E;Hoodie;;;;;3;2;;;
E;Chainsaw;;;;;3;2;;;
D;Feile;;;;;3;2;;;
D;Spiegel;;;;;3;2;;;
E;Prison;;;;;3;2;;;
P;Protsilp;;;;;3;2;;;
E;Copper;;;;;3;2;;;
P;Phincoat;;;;;3;2;;;
E;Dresser;;;;;3;2;;;
E;Lemon;;;;;3;2;;;
E;Rowing;;;;;3;2;;;
E;Forehead;;;;;3;2;;;
P;Monrot;;;;;3;2;;;
D;Nashorn;;;;;3;2;;;
D;Birne;;;;;3;2;;;
E;Trolley;;;;;3;2;;;
D;Gabel;;;;;3;2;;;
E;Melon;;;;;3;2;;;
P;Wilzlen;;;;;3;2;;;
E;Mallet;;;;;3;2;;;
E;Lightning;;;;;3;2;;;
P;Wolfser;;;;;3;2;;;
P;Cregar;;;;;3;2;;;
D;Widder;;;;;3;2;;;
D;Bohrer;;;;;3;2;;;
E;Robin;;;;;3;2;;;
D;Rhythmus;;;;;3;2;;;
P;Feitrom;;;;;3;2;;;
P;Carcaft;;;;;3;2;;;
P;Pfirber;;;;;3;2;;;
E;Lion;;;;;3;2;;;
D;Gehirn;;;;;3;2;;;
D;Bluse;;;;;3;2;;;
P;Zwiead;;;;;3;2;;;
D;Bolzen;;;;;3;2;;;
D;Werkstatt;;;;;3;2;;;
E;Bamboo;;;;;3;2;;;
E;Driver;;;;;3;2;;;
P;Mondon;;;;;3;2;;;
P;Wadbard;;;;;3;2;;;
D;Knarre;;;;;3;2;;;
P;Bladrad;;;;;3;2;;;
D;Auge;;;;;3;2;;;
P;Scherich;;;;;3;2;;;
E;Monkey;;;;;3;2;;;
D;Spargel;;;;;3;2;;;
P;Stockmock;;;;;3;2;;;
P;Fenman;;;;;3;2;;;
P;Walpfrei;;;;;3;2;;;
E;Cotton;;;;;3;2;;;
D;Lehrer;;;;;3;2;;;
E;Warehouse;;;;;3;2;;;
D;Katze;;;;;3;2;;;
E;Cottage;;;;;3;2;;;
D;Weste;;;;;3;2;;;
E;Fiddle;;;;;3;2;;;
P;Stattkla;;;;;3;2;;;
P;Nerla;;;;;3;2;;;
P;Hudme;;;;;3;2;;;
E;Timber;;;;;3;2;;;
D;Schauer;;;;;3;2;;;
P;Bobok;;;;;3;2;;;
D;Fechten;;;;;3;2;;;
D;Schemel;;;;;3;2;;;
E;Bookshelf;;;;;3;2;;;
E;Linen;;;;;3;2;;;
D;Gaumen;;;;;3;2;;;
E;Reindeer;;;;;3;2;;;
P;Merseg;;;;;3;2;;;
D;Hose;;;;;3;2;;;
P;Maukasch;;;;;3;2;;;
P;Taucke;;;;;3;2;;;
D;Kirche;;;;;3;2;;;
E;Donkey;;;;;3;2;;;
E;Ginger;;;;;3;2;;;
P;Naleu;;;;;3;2;;;
E;Ladder;;;;;3;2;;;
D;Kamel;;;;;3;2;;;
P;Wildhar;;;;;3;2;;;
D;Waage;;;;;3;2;;;
D;Soldat;;;;;3;2;;;
E;Steamer;;;;;3;2;;;
E;Resort;;;;;3;2;;;
E;Artist;;;;;3;2;;;
E;Stocking;;;;;3;2;;;
P;Pentwi;;;;;3;2;;;
D;Uhu;;;;;3;2;;;
P;Spramus;;;;;3;2;;;
E;Sweater;;;;;3;2;;;
D;Plastik;;;;;3;2;;;
E;Cutter;;;;;3;2;;;
E;Jumper;;;;;3;2;;;
D;Nase;;;;;3;2;;;
E;Pliers;;;;;3;2;;;
D;Schlagzeug;;;;;3;2;;;
P;Daukan;;;;;3;2;;;
P;Lightclim;;;;;3;2;;;
D;Seide;;;;;3;2;;;
D;Korsett;;;;;3;2;;;
P;Pentrom;;;;;3;2;;;
P;Pfanstik;;;;;3;2;;;
P;Balcraft;;;;;3;2;;;
E;Scraper;;;;;3;2;;;
D;Regen;;;;;3;2;;;
D;Messer;;;;;3;2;;;
E;Wagon;;;;;3;2;;;
E;Walnut;;;;;3;2;;;
E;Silver;;;;;3;2;;;
P;Melgen;;;;;3;2;;;
E;Currant;;;;;3;2;;;
D;Ratte;;;;;3;2;;;
D;Tauchen;;;;;3;2;;;
E;Bladder;;;;;3;2;;;
P;Rotkel;;;;;3;2;;;
P;Wearloan;;;;;3;2;;;
D;Regal;;;;;3;2;;;
P;Buntel;;;;;3;2;;;
P;Baglor;;;;;3;2;;;
P;Floodbon;;;;;3;2;;;
P;Dengren;;;;;3;2;;;
D;Schneesturm;;;;;3;2;;;
D;Hobel;;;;;3;2;;;
P;Scherad;;;;;3;2;;;
P;Lehmo;;;;;3;2;;;
P;Trettle;;;;;3;2;;;
E;Trombone;;;;;3;2;;;
E;Bowling;;;;;3;2;;;
P;Selwild;;;;;3;2;;;
D;Bunker;;;;;3;2;;;
D;Kaschmir;;;;;3;2;;;
D;Lippe;;;;;3;2;;;
D;Turnen;;;;;3;2;;;
P;Shawmod;;;;;3;2;;;
D;Kessel;;;;;3;2;;;
P;Fallze;;;;;3;2;;;
E;Doctor;;;;;3;2;;;
P;Stocers;;;;;3;2;;;
E;Drawer;;;;;3;2;;;
D;Magen;;;;;3;2;;;
E;Plumber;;;;;3;2;;;
P;Prirant;;;;;3;2;;;
E;Garlic;;;;;3;2;;;
D;Teller;;;;;3;2;;;
P;Clorsot;;;;;3;2;;;
D;Bieber;;;;;3;2;;;
E;Ballad;;;;;3;2;;;
P;Schautich;;;;;3;2;;;
P;Truad;;;;;3;2;;;
D;Wolfram;;;;;3;2;;;
P;Fenkohl;;;;;3;2;;;
E;Chicken;;;;;3;2;;;
D;Laute;;;;;3;2;;;
D;Geier;;;;;3;2;;;
P;Derfal;;;;;3;2;;;
E;Waistcoat;;;;;3;2;;;
D;Bauer;;;;;3;2;;;
P;Showgren;;;;;3;2;;;
P;Bluzeug;;;;;3;2;;;
E;Cardboard;;;;;3;2;;;
D;Jacke;;;;;3;2;;;
D;Orgel;;;;;3;2;;;
D;Bagger;;;;;3;2;;;
E;Helmet;;;;;3;2;;;
E;Aircraft;;;;;3;2;;;
D;Wolke;;;;;3;2;;;
P;Twikey;;;;;3;2;;;
P;Mornal;;;;;3;2;;;
P;Nepa;;;;;3;2;;;
D;Fischer;;;;;3;2;;;
P;Mortist;;;;;3;2;;;
P;Musner;;;;;3;2;;;
D;Labor;;;;;3;2;;;
D;Sessel;;;;;3;2;;;
D;Bohne;;;;;3;2;;;
E;Chestnut;;;;;3;2;;;
P;Rafus;;;;;3;2;;;
P;Oldress;;;;;3;2;;;
P;Ningtrom;;;;;3;2;;;
D;Rotkohl;;;;;3;2;;;
E;Rubber;;;;;3;2;;;
P;Bresteam;;;;;3;2;;;
P;Stirom;;;;;3;2;;;
E;Earthquake;;;;;3;2;;;
E;Cabbage;;;;;3;2;;;
D;Wolle;;;;;3;2;;;
E;Trumpet;;;;;3;2;;;
D;Palast;;;;;3;2;;;
P;Lerwan;;;;;3;2;;;
P;Setpea;;;;;3;2;;;
P;Mannel;;;;;3;2;;;
P;Silearth;;;;;3;2;;;
D;Segeln;;;;;3;2;;;
E;Autumn;;;;;3;2;;;
E;Gauntlet;;;;;3;2;;;
D;Kaki;;;;;3;2;;;
E;Parrot;;;;;3;2;;;
P;Albage;;;;;3;2;;;
P;Surfree;;;;;3;2;;;
P;Kuckdau;;;;;3;2;;;
D;Fussball;;;;;3;2;;;
E;Sunrise;;;;;3;2;;;
D;Elster;;;;;3;2;;;
D;Zwiebel;;;;;3;2;;;
P;Sunpamp;;;;;3;2;;;
E;Tailor;;;;;3;2;;;
E;Penguin;;;;;3;2;;;
P;Caktard;;;;;3;2;;;
E;Blender;;;;;3;2;;;
P;Bankja;;;;;3;2;;;
E;Ostrich;;;;;3;2;;;
E;Skating;;;;;3;2;;;
E;Twilight;;;;;3;2;;;
P;Vieruck;;;;;3;2;;;
E;Wetsuit;;;;;3;2;;;
E;Berry;;;;;3;2;;;
E;Bagpipe;;;;;3;2;;;
E;Singer;;;;;3;2;;;
E;Hammock;;;;;3;2;;;
E;Kidney;;;;;3;2;;;
D;Schlange;;;;;3;2;;;
P;Peclean;;;;;3;2;;;
D;Kellner;;;;;3;2;;;
D;Nebel;;;;;3;2;;;
E;Fishing;;;;;3;2;;;
P;Pilrag;;;;;3;2;;;
P;Freabye;;;;;3;2;;;
E;Cupboard;;;;;3;2;;;
P;Scheuwe;;;;;3;2;;;
E;Railcar;;;;;3;2;;;
D;Kuckuck;;;;;3;2;;;
E;Eggplant;;;;;3;2;;;
P;Swalroe;;;;;3;2;;;
P;Tinseg;;;;;3;2;;;
P;Boncan;;;;;3;2;;;
P;Schlanaus;;;;;3;2;;;
E;Slipper;;;;;3;2;;;
E;Eclipse;;;;;3;2;;;
D;Taifun;;;;;3;2;;;
P;Kanbe;;;;;3;2;;;
E;Wardrobe;;;;;3;2;;;
D;Lunge;;;;;3;2;;;
P;Schrauschi;;;;;3;2;;;
D;Liege;;;;;3;2;;;
D;Leder;;;;;3;2;;;
E;Heater;;;;;3;2;;;
P;Kothrin;;;;;3;2;;;
D;Richter;;;;;3;2;;;
P;Winbut;;;;;3;2;;;
D;Dattel;;;;;3;2;;;
D;Nagel;;;;;3;2;;;
P;Bielip;;;;;3;2;;;
D;Trikot;;;;;3;2;;;
E;Spider;;;;;3;2;;;
E;Dentist;;;;;3;2;;;
E;Surgeon;;;;;3;2;;;
D;Hymne;;;;;3;2;;;
P;Slitist;;;;;3;2;;;
P;Wearlpie;;;;;3;2;;;
D;Hocker;;;;;3;2;;;
D;Bahnhof;;;;;3;2;;;
P;Slochen;;;;;3;2;;;
P;Carftbeat;;;;;3;2;;;
E;Peacock;;;;;3;2;;;
P;Prekey;;;;;3;2;;;
D;Mantel;;;;;3;2;;;
P;Rainshaw;;;;;3;2;;;
D;Erbse;;;;;3;2;;;
D;Feige;;;;;3;2;;;
E;Juicer;;;;;3;2;;;
P;Soltrol;;;;;3;2;;;
E;Mushroom;;;;;3;2;;;
P;Storschmitt;;;;;3;2;;;
P;Ranthog;;;;;3;2;;;
E;Fibre;;;;;3;2;;;
E;Liver;;;;;3;2;;;
E;Hiking;;;;;3;2;;;
D;Eule;;;;;3;2;;;
E;Apron;;;;;3;2;;;
D;Kirsche;;;;;3;2;;;
D;Panzer;;;;;3;2;;;
E;Gable;;;;;3;2;;;
D;Meise;;;;;3;2;;;
P;Stiebrik;;;;;3;2;;;
P;Schrauseg;;;;;3;2;;;
D;Spinat;;;;;3;2;;;
E;Rhubarb;;;;;3;2;;;
E;Pigeon;;;;;3;2;;;
P;Seirot;;;;;3;2;;;
D;Ziege;;;;;3;2;;;
P;Glafa;;;;;3;2;;;
D;Titan;;;;;3;2;;;
P;Reboh;;;;;3;2;;;
P;Zwiene;;;;;3;2;;;
E;Showroom;;;;;3;2;;;
E;Badger;;;;;3;2;;;
P;Richset;;;;;3;2;;;
D;Stiefel;;;;;3;2;;;
D;Wildschwein;;;;;3;2;;;
D;Fahrrad;;;;;3;2;;;
E;Skillet;;;;;3;2;;;
E;Pupil;;;;;3;2;;;
D;Sommer;;;;;3;2;;;
P;Waldat;;;;;3;2;;;
E;Mortar;;;;;3;2;;;
P;Baune;;;;;3;2;;;
D;Hagel;;;;;3;2;;;
E;Table;;;;;3;2;;;
P;Auber;;;;;3;2;;;
E;Trailor;;;;;3;2;;;
E;Workbench;;;;;3;2;;;
P;Ladrich;;;;;3;2;;;
D;Mofa;;;;;3;2;;;
D;Werkbank;;;;;3;2;;;
P;Railtrol;;;;;3;2;;;
P;Daucken;;;;;3;2;;;
D;Barock;;;;;3;2;;;
D;Anwalt;;;;;3;2;;;
D;Ofen;;;;;3;2;;;
